time (s)	coil I (A)	last det (V)	int current (uC)
628.072789	0.866038	-342.089844	200.097656
628.074793	1.161676	-342.089844	200.097656
628.076792	1.436740	-342.089844	200.097656
628.078791	1.543394	-342.089844	200.097656
628.082789	1.536521	16.901726	1.060180
629.120837	0.484967	-213.183594	-144.140625
629.122840	0.797460	-213.183594	-144.140625
629.124839	1.097834	-213.183594	-144.140625
629.126841	1.113656	-213.183594	-144.140625
629.130837	1.540244	-213.183594	-144.140625
629.132839	1.537171	16.908878	1.019096
630.151780	0.548032	-358.398437	196.289062
630.153782	0.859161	-358.398437	196.289062
630.155781	1.155149	-358.398437	196.289062
630.157784	1.431203	-358.398437	196.289062
630.159782	1.544002	-358.398437	196.289062
630.161782	1.539852	16.938372	1.016342
631.199822	0.576122	-194.726562	-153.808594
631.201824	0.886391	-194.726562	-153.808594
631.203823	1.180569	-194.726562	-153.808594
631.205825	1.452474	-194.726562	-153.808594
631.207823	1.544247	-194.726562	-153.808594
631.209824	1.539852	16.938372	1.044477
632.231820	0.514868	-342.773437	199.023437
632.233823	0.826703	-342.773437	199.023437
632.235824	1.125214	-342.773437	199.023437
632.237823	1.403776	-342.773437	199.023437
632.239823	1.543911	-342.773437	199.023437
632.241823	1.540479	16.945267	1.012362
633.277902	0.415264	-203.222656	-149.707031
633.279904	0.729889	-203.222656	-149.707031
633.281906	1.033289	-203.222656	-149.707031
633.283905	1.317771	-203.222656	-149.707031
633.285906	1.529256	-203.222656	-149.707031
633.287907	1.540683	-203.222656	-149.707031
633.289906	1.537398	16.911377	1.007487
634.311888	0.363811	-343.554687	198.242187
634.315890	0.986478	-343.554687	198.242187
634.317898	1.273558	-343.554687	198.242187
634.319904	1.512319	-343.554687	198.242187
634.321904	1.541104	-343.554687	198.242187
634.323901	1.537421	16.911634	1.041416
635.355939	0.356471	-200.000000	-151.562500
635.357939	0.673424	-200.000000	-151.562500
635.359942	0.979901	-200.000000	-151.562500
635.361942	1.267486	-200.000000	-151.562500
635.363944	1.508700	-200.000000	-151.562500
635.365942	1.541114	-200.000000	-151.562500
635.367942	1.537325	16.910572	0.996209
636.389906	0.374599	-335.351562	200.097656
636.391911	0.690799	-335.351562	200.097656
636.393912	0.996760	-335.351562	200.097656
636.395913	1.283217	-335.351562	200.097656
636.397912	1.289977	-335.351562	200.097656
636.399915	1.540944	-335.351562	200.097656
636.401915	1.540765	16.948414	1.033238
637.441906	1.116959	-201.074219	-151.171875
637.443907	1.395818	-201.074219	-151.171875
637.445908	1.542831	-201.074219	-151.171875
637.449906	1.537003	16.907034	0.963026
638.468507	0.447958	-326.660156	200.000000
638.470508	0.761458	-326.660156	200.000000
638.472508	1.063311	-326.660156	200.000000
638.474508	1.344958	-326.660156	200.000000
638.476507	1.536216	-326.660156	200.000000
638.478508	1.540050	-326.660156	200.000000
638.480507	1.536917	16.906086	1.008759
639.520568	0.967814	-183.203125	-159.375000
639.522571	1.256192	-183.203125	-159.375000
639.524571	1.503005	-183.203125	-159.375000
639.526572	1.541685	-183.203125	-159.375000
639.528576	1.537814	16.915960	0.990703
640.550600	0.652384	-351.367187	197.851562
640.552604	1.240983	-351.367187	197.851562
640.554604	1.493986	-351.367187	197.851562
640.556610	1.541061	-351.367187	197.851562
640.558612	1.537138	16.908516	0.985345
641.598644	0.531176	-188.183594	-158.496094
641.600646	0.842459	-188.183594	-158.496094
641.602645	1.139474	-188.183594	-158.496094
641.604646	1.417116	-188.183594	-158.496094
641.606645	1.544090	-188.183594	-158.496094
641.608646	1.540186	16.942041	0.959975
642.626680	0.683885	-343.164062	199.218750
642.628681	0.989141	-343.164062	199.218750
642.630681	1.276041	-343.164062	199.218750
642.632682	1.512463	-343.164062	199.218750
642.634682	1.540476	-343.164062	199.218750
642.636682	1.536902	16.905918	0.989927
643.676747	0.464893	-183.300781	-162.011719
643.678748	0.777687	-183.300781	-162.011719
643.680748	1.078933	-183.300781	-162.011719
643.682748	1.359499	-183.300781	-162.011719
643.684747	1.538573	-183.300781	-162.011719
643.686749	1.539425	-183.300781	-162.011719
643.688748	1.536464	16.901106	0.945574
644.702789	0.361455	-319.531250	205.468750
644.706789	0.983627	-319.531250	205.468750
644.708792	1.270841	-319.531250	205.468750
644.710791	1.509878	-319.531250	205.468750
644.712791	1.540262	-319.531250	205.468750
644.714790	1.536733	16.904066	0.992690
645.758864	0.864651	-173.730469	-169.628906
645.760864	1.160072	-173.730469	-169.628906
645.762864	1.435166	-173.730469	-169.628906
645.764866	1.542478	-173.730469	-169.628906
645.766865	1.538186	16.920046	0.919920
646.786908	1.040206	-319.531250	210.253906
646.790909	1.530712	-319.531250	210.253906
646.792912	1.540299	-319.531250	210.253906
646.794912	1.536994	16.906929	0.938744
647.833414	0.341193	-179.101562	-171.386719
647.835413	0.658883	-179.101562	-171.386719
647.837416	0.965307	-179.101562	-171.386719
647.839415	1.253825	-179.101562	-171.386719
647.841415	1.501295	-179.101562	-171.386719
647.843419	1.540953	-179.101562	-171.386719
647.845417	1.537036	16.907398	0.946888
648.863461	0.449734	-280.957031	217.382812
648.867461	1.064903	-280.957031	217.382812
648.869462	1.346271	-280.957031	217.382812
648.871464	1.535730	-280.957031	217.382812
648.873467	1.538880	-280.957031	217.382812
648.875469	1.535953	16.895477	0.928732
649.909444	0.414277	-188.476562	-172.070312
649.911450	0.728585	-188.476562	-172.070312
649.913455	1.032955	-188.476562	-172.070312
649.917452	1.528496	-188.476562	-172.070312
649.919455	1.540060	-188.476562	-172.070312
649.921454	1.536799	16.904793	0.930741
650.945499	0.547805	-281.250000	216.699219
650.947501	0.858533	-281.250000	216.699219
650.949501	1.154369	-281.250000	216.699219
650.951497	1.430305	-281.250000	216.699219
650.953498	1.543229	-281.250000	216.699219
650.955499	1.539005	16.929058	0.895757
651.985565	0.468591	-176.074219	-177.929687
651.987566	0.781086	-176.074219	-177.929687
651.989566	1.082030	-176.074219	-177.929687
651.991565	1.362396	-176.074219	-177.929687
651.993566	1.539026	-176.074219	-177.929687
651.995566	1.539371	-176.074219	-177.929687
651.997566	1.536397	16.900372	0.911547
653.027643	0.564297	-277.636719	211.523437
653.029647	0.874722	-277.636719	211.523437
653.031645	1.169451	-277.636719	211.523437
653.033645	1.443248	-277.636719	211.523437
653.035647	1.543105	-277.636719	211.523437
653.037647	1.538787	16.926655	0.881004
654.063619	0.784753	-177.441406	-173.046875
654.065623	1.085459	-177.441406	-173.046875
654.069627	1.370432	-177.441406	-173.046875
654.071630	1.540198	-177.441406	-173.046875
654.073629	1.537119	16.908310	0.935171
655.107674	0.528806	-285.839844	206.250000
655.109675	0.839976	-285.839844	206.250000
655.113674	1.414632	-285.839844	206.250000
655.115676	1.542094	-285.839844	206.250000
655.117677	1.538255	16.920807	0.847436
656.139719	0.543272	-168.554687	-171.289062
656.141720	0.854091	-168.554687	-171.289062
656.143720	1.150187	-168.554687	-171.289062
656.145719	1.426700	-168.554687	-171.289062
656.147719	1.543107	-168.554687	-171.289062
656.149720	1.538887	16.927755	0.893172
657.185746	0.464249	-316.308594	201.757812
657.187746	0.776922	-316.308594	201.757812
657.189747	1.078034	-316.308594	201.757812
657.191745	1.358586	-316.308594	201.757812
657.193745	1.538206	-316.308594	201.757812
657.195746	1.539096	-316.308594	201.757812
657.197746	1.536085	16.896940	0.876400
658.222701	0.884913	-178.906250	-163.964844
658.224704	1.178883	-178.906250	-163.964844
658.228702	1.544878	-178.906250	-163.964844
658.230704	1.540600	-178.906250	-163.964844
658.232703	1.537935	16.917280	0.897632
659.261279	0.618515	-320.996094	199.511719
659.263280	0.926550	-320.996094	199.511719
659.265279	1.217672	-320.996094	199.511719
659.267280	1.479302	-320.996094	199.511719
659.269280	1.541661	-320.996094	199.511719
659.271279	1.537464	16.912104	0.870500
660.303271	0.758286	-164.648437	-166.601562
660.305272	1.060236	-164.648437	-166.601562
660.307270	1.342052	-164.648437	-166.601562
660.309271	1.535138	-164.648437	-166.601562
660.311270	1.539473	-164.648437	-166.601562
660.313271	1.536381	16.900194	0.847225
661.335267	0.477885	-260.644531	204.199219
661.337271	0.790263	-260.644531	204.199219
661.339271	1.090691	-260.644531	204.199219
661.343278	1.539530	-260.644531	204.199219
661.345277	1.538519	-260.644531	204.199219
661.347278	1.535698	16.892679	0.825023
662.383252	0.646247	-181.445312	-160.351562
662.385254	0.953023	-181.445312	-160.351562
662.387255	1.242257	-181.445312	-160.351562
662.389254	1.494331	-181.445312	-160.351562
662.391256	1.540082	-181.445312	-160.351562
662.393254	1.536246	16.898705	1.059049
663.413284	0.777683	-284.960937	203.906250
663.415287	1.078643	-284.960937	203.906250
663.417287	1.359096	-284.960937	203.906250
663.419287	1.537636	-284.960937	203.906250
663.423285	1.535472	-284.960937	203.906250
663.425287	1.533654	16.870195	0.866956
664.461279	0.618522	-178.710937	-162.792969
664.463281	0.631444	-178.710937	-162.792969
664.465279	1.217656	-178.710937	-162.792969
664.467279	1.479057	-178.710937	-162.792969
664.469280	1.541046	-178.710937	-162.792969
664.471281	1.536986	16.906849	0.832021
665.489793	0.368916	-227.050781	209.277344
665.491796	0.685089	-227.050781	209.277344
665.497793	1.512459	-227.050781	209.277344
665.499796	1.539682	-227.050781	209.277344
665.501794	1.536205	16.898252	0.859667
666.537814	0.246060	-174.316406	-167.187500
666.539816	0.569047	-174.316406	-167.187500
666.541814	0.879346	-174.316406	-167.187500
666.543815	1.173596	-174.316406	-167.187500
666.545814	1.446559	-174.316406	-167.187500
666.547817	1.542843	-174.316406	-167.187500
666.549816	1.538497	16.923466	0.832581
667.566408	0.241810	-227.050781	212.597656
667.568410	0.565007	-227.050781	212.597656
667.570412	0.875260	-227.050781	212.597656
667.572411	1.169815	-227.050781	212.597656
667.576409	1.542517	-227.050781	212.597656
667.578415	1.538180	-227.050781	212.597656
667.580412	1.535749	16.893236	0.816457
668.616456	0.360239	-171.582031	-172.265625
668.618458	0.676819	-171.582031	-172.265625
668.620460	0.982233	-171.582031	-172.265625
668.622458	1.269410	-171.582031	-172.265625
668.624460	1.508696	-171.582031	-172.265625
668.626458	1.539336	-171.582031	-172.265625
668.628458	1.535815	16.893963	0.813047
669.647039	0.570562	-255.566406	215.234375
669.649041	0.880585	-255.566406	215.234375
669.651042	1.174818	-255.566406	215.234375
669.653041	1.447520	-255.566406	215.234375
669.655043	1.451804	-255.566406	215.234375
669.657040	1.538574	16.924316	0.806994
670.693046	0.283679	-173.828125	-174.609375
670.695049	0.604234	-173.828125	-174.609375
670.697048	0.912787	-173.828125	-174.609375
670.699049	1.204786	-173.828125	-174.609375
670.701047	1.470198	-173.828125	-174.609375
670.703049	1.541139	-173.828125	-174.609375
670.705048	1.536933	16.906263	0.862438
671.727007	0.826227	-245.410156	217.187500
671.729009	1.124196	-245.410156	217.187500
671.731010	1.402564	-245.410156	217.187500
671.733011	1.542399	-245.410156	217.187500
671.735010	1.538905	16.927959	0.772433
672.776983	1.345082	-153.125000	-183.984375
672.778986	1.535390	-153.125000	-183.984375
672.780985	1.538889	-153.125000	-183.984375
672.782985	1.535967	16.895638	0.788100
673.804980	0.559157	-207.519531	217.578125
673.806988	0.869496	-207.519531	217.578125
673.808983	1.164772	-207.519531	217.578125
673.810983	1.439121	-207.519531	217.578125
673.812984	1.542640	-207.519531	217.578125
673.814984	1.542542	16.967962	0.748573
674.853025	0.637577	-148.535156	-185.253906
674.855026	0.944740	-148.535156	-185.253906
674.857027	1.234453	-148.535156	-185.253906
674.859025	1.489679	-148.535156	-185.253906
674.861027	1.540211	-148.535156	-185.253906
674.863027	1.536283	16.899113	0.723523
