time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
644.512737	32.403435	0.009103	3.559469	103
645.590541	30.687162	0.009109	3.368711	104
646.590347	32.209866	0.009095	3.541481	105
647.666956	30.773918	0.009085	3.387437	106
648.667315	33.751980	0.009105	3.706832	107
649.743173	31.961241	0.009106	3.509718	108
650.745616	34.552120	0.009091	3.800586	109
651.817429	39.528324	0.009098	4.344516	110
652.823478	38.492931	0.009100	4.229827	111
653.893916	31.833496	0.009116	3.492041	112
654.901479	36.379456	0.009098	3.998490	113
655.972402	32.524548	0.009097	3.575282	114
656.975468	36.770798	0.009108	4.037362	115
658.055516	36.198368	0.009106	3.975032	116
659.048693	35.430511	0.009117	3.886022	117
660.128106	32.693722	0.009099	3.593101	118
661.126059	33.496033	0.009106	3.678475	119
662.204772	40.389324	0.009098	4.439541	120
663.200336	35.350601	0.009103	3.883543	121
664.279330	33.952240	0.009098	3.731964	122
665.280857	36.685684	0.009095	4.033401	123
666.354954	36.518265	0.009096	4.014893	124
667.362385	55.642551	0.009083	6.126307	125
668.424517	33.408035	0.009101	3.670927	126
669.447567	40.086910	0.009081	4.414308	127
670.495998	35.334141	0.009107	3.879808	128
671.523886	37.255905	0.009142	4.075389	129
672.569513	36.007160	0.009083	3.964398	130
673.603654	38.058067	0.009128	4.169168	131
674.645675	36.351013	0.009100	3.994807	132
675.674671	35.915413	0.009106	3.944317	133
676.725101	36.733128	0.009107	4.033575	134
677.752580	39.848495	0.009102	4.378154	135
678.808591	36.746971	0.009096	4.039910	136
679.824941	40.399303	0.009100	4.439432	137
680.885926	36.245552	0.009121	3.973847	138
681.895992	39.855488	0.009098	4.380748	139
682.967738	35.814449	0.009105	3.933485	140
683.969210	39.490349	0.009099	4.339865	141
685.044304	37.607868	0.009090	4.137310	142
686.045354	40.011070	0.009084	4.404378	143
687.122981	38.316422	0.009112	4.205194	144
688.121928	40.476818	0.009083	4.456330	145
689.199922	38.913513	0.009111	4.271194	146
690.198081	42.060978	0.009096	4.623994	147
691.272441	36.879742	0.009082	4.060945	148
692.274835	40.824905	0.009115	4.478729	149
693.352835	39.720921	0.009097	4.366586	150
694.353278	42.833908	0.009098	4.708114	151
695.429319	40.481792	0.009097	4.449840	152
696.430205	42.528664	0.009122	4.662246	153
697.504258	42.058109	0.009094	4.625027	154
698.507803	42.119926	0.009099	4.629325	155
699.577129	40.594021	0.009099	4.461325	156
700.587357	41.883366	0.009098	4.603433	157
701.652921	42.391380	0.009093	4.661776	158
702.667762	42.795040	0.009148	4.678072	159
703.725040	43.970253	0.009111	4.826213	160
704.748131	43.331936	0.009091	4.766657	161
705.810301	52.024803	0.009093	5.721552	162
706.828420	44.018391	0.009123	4.824757	163
707.870446	42.939247	0.009123	4.706575	164
708.907774	45.737041	0.009146	5.000545	165
709.948265	43.024059	0.009096	4.729830	166
710.980838	45.134159	0.009094	4.962911	167
712.029020	40.508198	0.009119	4.442403	168
713.053318	46.712509	0.009109	5.128218	169
714.108849	45.139336	0.009104	4.958102	170
715.124913	48.097466	0.009107	5.281095	171
716.190389	43.341728	0.009096	4.764902	172
717.200362	48.977699	0.009071	5.399312	173
718.268832	44.304161	0.009105	4.866073	174
719.274466	47.998898	0.009099	5.275323	175
720.348604	45.840714	0.009095	5.040136	176
721.350352	48.367260	0.009103	5.313225	177
722.425417	43.352470	0.009116	4.755454	178
723.425676	48.607174	0.009098	5.342728	179
724.501705	45.733860	0.009103	5.024157	180
725.501794	48.899979	0.009095	5.376389	181
726.582160	49.632999	0.009092	5.458854	182
727.580238	49.935123	0.009101	5.486478	183
728.654948	46.469185	0.009093	5.110525	184
729.656849	51.200935	0.009106	5.622823	185
730.731572	46.994011	0.009092	5.168455	186
731.731775	50.009468	0.009101	5.495128	187
732.810147	48.844666	0.009095	5.370532	188
733.809119	50.866962	0.009101	5.589107	189
734.886364	49.596302	0.009109	5.444993	190
735.886385	52.504852	0.009111	5.762844	191
736.964383	51.029922	0.009093	5.611777	192
737.963466	53.116486	0.009099	5.837823	193
739.039197	50.938366	0.009092	5.602604	194
740.041508	53.132999	0.009091	5.844449	195
741.113232	51.208954	0.009095	5.630297	196
742.119768	51.781357	0.009094	5.694263	197
743.185631	50.920334	0.009095	5.598689	198
744.201349	55.136791	0.009103	6.057253	199
745.258687	51.262215	0.009107	5.628611	200
746.280253	53.331467	0.009095	5.863816	201
747.330747	53.142628	0.009108	5.834604	202
748.360809	55.112167	0.009118	6.044003	203
749.404634	51.713062	0.009109	5.677104	204
750.438581	55.425190	0.009081	6.103251	205
751.486695	57.015385	0.009083	6.277378	206
752.515373	55.402611	0.009116	6.077769	207
753.559372	53.906212	0.009114	5.914577	208
754.589663	55.528481	0.009074	6.119576	209
755.643689	58.228832	0.009074	6.417190	210
756.666666	59.743813	0.009093	6.570603	211
757.719224	56.514946	0.009096	6.213332	212
758.739329	58.439148	0.009096	6.424869	213
