num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3769	4522.056186	43.529944	-0.577901	1.562131	3.604841
3773	4526.202543	43.408114	-0.766101	1.565633	3.766499
3775	4528.283983	44.485424	2.202081	1.602571	3.386512
3777	4530.364847	44.629056	2.403006	1.592151	3.878375
3779	4532.444400	44.304884	-0.382315	1.563891	3.556470
3781	4534.523322	43.043717	-0.734994	1.562037	3.495488
3783	4536.599549	48.829540	-1.515330	1.555382	3.791484
3785	4538.678208	45.074968	1.899109	1.594460	3.668151
3787	4540.754250	44.760775	-0.421956	1.563826	3.670083
3789	4542.830800	45.310015	2.497445	1.599044	3.602180
3791	4544.904836	42.171998	-0.209852	1.597783	3.669200
3793	4546.977671	45.069520	-0.529353	1.557981	3.653585
3795	4549.051009	43.878207	-0.206964	1.594362	3.843395
3797	4551.125838	43.897979	-1.015866	1.548260	3.788304
3799	4553.204832	44.260863	4.056150	1.519959	3.797332
3801	4555.284420	44.388693	-0.259820	1.561605	3.764955
3803	4557.366839	44.603212	-0.348532	1.561733	3.662988
3805	4559.448333	45.302953	-0.440276	1.562164	3.887204
3807	4561.520413	45.231462	-0.307875	1.561582	3.785698
3809	4563.591971	43.713242	-0.132969	1.593948	3.734969
3811	4565.665952	44.173663	-0.875878	1.546796	3.812427
3813	4567.744114	44.999753	1.148338	1.540287	3.843876
3815	4569.825618	45.040010	-0.253328	1.581791	3.848621
3817	4571.905405	45.093371	-0.205827	1.556399	3.733632
3819	4573.985541	45.814749	2.050950	1.590471	3.828869
3821	4576.060089	45.701652	2.306587	1.588107	3.882690
3823	4578.134922	45.797885	1.990620	1.589428	3.914143
3825	4580.213630	44.061785	-0.405465	1.555965	3.888742
3827	4582.290491	45.659892	-1.855514	1.554144	3.764583
3829	4584.367220	45.927046	2.109451	1.585496	3.958443
3831	4586.441757	43.481889	-0.099051	1.585028	3.623669
3833	4588.515414	45.364147	-1.603767	1.556982	3.955522
3835	4590.588270	46.125620	2.084245	1.591428	3.953640
3837	4592.663630	46.307454	2.671473	1.601252	3.995409
3839	4594.742982	45.882317	2.102641	1.600593	3.853224
3841	4596.823048	45.875626	1.891419	1.591794	3.907213
3843	4598.905223	46.221158	2.560621	1.589157	4.034452
3845	4600.983756	46.253403	2.410577	1.584015	3.984182
3847	4603.059262	46.024687	-0.011787	1.552831	3.898043
3849	4605.132620	45.426676	0.131504	1.585642	3.835609
3851	4607.205923	46.061907	-0.739201	1.550534	4.060207
3853	4609.279021	45.115223	0.278563	1.582183	3.868353
3855	4611.354807	45.150153	-0.110859	1.562036	3.837446
3857	4613.433523	45.446823	-0.097728	1.556169	4.006434
3859	4615.511176	46.103749	2.210005	1.590977	3.904845
3861	4617.589182	45.513134	0.127726	1.557050	3.963855
3863	4619.666048	46.236551	1.919987	1.591831	3.997314
3865	4621.742276	46.295592	1.872417	1.590379	4.034764
3867	4623.818766	45.546180	0.185941	1.556634	3.973258
3869	4625.894531	45.451768	-0.022999	1.551366	4.001812
3871	4627.970291	45.363277	-0.354848	1.547090	4.067994
3873	4630.047825	45.830365	5.089532	1.506794	3.989263
3875	4632.125556	45.222944	0.314489	1.583615	4.093809
3877	4634.204771	46.226231	-1.176410	1.555610	3.970695
3879	4636.286180	46.169352	0.098854	1.551812	4.035410
3881	4638.365950	46.593541	1.983307	1.587891	4.028065
3883	4640.442702	46.951805	1.924945	1.587701	3.952545
3885	4642.518539	46.627855	0.054544	1.554021	3.846138
3887	4644.591182	45.558838	0.486517	1.591003	3.929072
3889	4646.665321	46.689870	-0.185676	1.544731	4.052980
3891	4648.738688	45.730863	0.382764	1.580147	4.085383
3893	4650.815917	46.381069	6.209562	1.491248	4.201658
3895	4652.892684	45.667476	0.457210	1.580462	3.983587
3897	4654.969614	46.350592	4.403851	1.508834	4.010960
3899	4657.048474	45.946628	0.234632	1.550858	4.022122
3901	4659.125839	45.844076	0.149763	1.548571	4.047661
3903	4661.203045	45.712769	-0.152823	1.547388	4.215599
3905	4663.279428	46.025563	0.170524	1.549130	3.966643
3907	4665.354886	46.674150	3.959503	1.511407	4.009693
3909	4667.430402	46.020346	0.639727	1.578768	4.010893
3911	4669.506567	46.016191	0.192900	1.554045	4.016884
3913	4671.583317	46.015471	0.209168	1.550761	4.121033
3915	4673.660631	45.959295	0.172028	1.554553	4.025091
3917	4675.741992	46.918414	-0.350196	1.545919	4.228892
3919	4677.821535	46.219760	0.640403	1.588331	4.298544
3921	4679.902069	47.036690	0.524121	1.551014	4.299614
3923	4681.979405	45.671459	0.013177	1.547417	4.128696
3925	4684.055608	51.963437	-1.112583	1.544908	4.123384
3927	4686.130583	47.352455	2.714901	1.582217	4.192482
3929	4688.204941	47.635586	2.448812	1.575547	3.959641
3931	4690.278115	47.555963	2.081639	1.577795	4.159472
3933	4692.353010	46.394520	0.363631	1.548347	4.151591
3935	4694.428542	46.592779	0.297865	1.548515	4.083666
3937	4696.504207	47.714026	1.958120	1.583727	4.163048
3939	4698.581810	47.608104	2.539580	1.582166	4.267957
3941	4700.658624	47.436018	1.892513	1.584018	4.388567
3943	4702.735167	46.478676	0.740567	1.576450	4.108198
3945	4704.811810	46.743414	0.443374	1.547740	4.166551
3947	4706.888453	46.476180	0.381052	1.545456	4.320472
3949	4708.966375	46.530090	0.383081	1.544710	4.033449
3951	4711.045472	47.474933	0.690737	1.537963	4.233815
3953	4713.123914	47.636959	2.103568	1.578787	4.124286
3955	4715.201858	47.236263	0.491290	1.546599	4.160297
3957	4717.282556	47.295131	0.439605	1.546258	4.095518
3959	4719.361575	43.882362	1.867796	1.618902	4.391334
3961	4721.439620	53.890013	-0.861958	1.547348	4.225000
3963	4723.515626	48.039575	2.542855	1.576891	4.237006
3965	4725.590146	47.935666	2.122599	1.581409	4.088380
3967	4727.663584	47.058564	1.046999	1.588535	4.163266
3969	4729.738435	47.499738	0.561601	1.545304	4.321933
3971	4731.812458	47.874399	2.209327	1.581736	4.355086
3973	4733.889259	47.073594	0.672153	1.545826	4.295163
3975	4735.965167	47.012518	0.708389	1.546710	4.172104
3977	4738.041599	46.942944	1.017651	1.576899	4.253351
3979	4740.115740	47.485039	5.223229	1.501399	4.289102
3981	4742.192998	48.214012	2.129730	1.580278	4.287778
3983	4744.270757	48.159362	2.239197	1.580048	4.428029
3985	4746.346746	47.000680	0.674701	1.547178	4.255933
3987	4748.425878	46.762337	1.042193	1.575194	4.231956
3989	4750.503070	47.218787	0.549015	1.544899	4.145826
3991	4752.580645	48.361610	2.318529	1.586195	4.262020
3993	4754.658178	47.256342	0.619984	1.546116	4.350577
3995	4756.738553	48.170655	1.992299	1.578912	4.308270
3997	4758.817008	46.630215	0.440875	1.545524	4.433168
3999	4760.895637	47.945347	0.883879	1.547809	4.268256
4001	4762.974148	48.226390	1.991482	1.576365	4.247917
4003	4765.050843	46.601221	0.393871	1.544657	4.214095
4005	4767.126584	52.958786	-0.821286	1.544924	4.276855
4007	4769.201638	48.295704	2.804378	1.579541	4.309529
4009	4771.276733	48.722806	0.985431	1.573403	4.392425
4011	4773.351289	47.899581	-1.360131	1.547234	4.368648
4013	4775.425959	47.194975	0.666791	1.543904	4.354319
4015	4777.499510	47.765820	0.699837	1.543941	4.369365
4017	4779.576067	47.334084	0.724487	1.543994	4.342236
4019	4781.652435	47.307986	0.554466	1.543693	4.354361
4021	4783.729486	47.464735	0.751905	1.544332	4.331998
4023	4785.806700	48.395403	2.896597	1.577145	4.358431
4025	4787.883993	47.966361	1.021724	1.571436	4.387882
4027	4789.961427	47.207390	0.495843	1.541165	4.338618
4029	4792.039031	47.214165	0.306193	1.537586	4.284166
4031	4794.117329	48.084739	-1.523139	1.550285	4.383524
4033	4796.196288	48.321967	2.247185	1.576765	4.436542
4035	4798.273981	47.059866	0.697247	1.544530	4.289746
4037	4800.352089	49.024708	-1.210063	1.544571	4.400693
4039	4802.430176	45.177764	1.891133	1.601929	4.362576
4041	4804.506626	48.314124	0.910514	1.546584	4.330585
4043	4806.582370	48.346263	0.781656	1.544895	4.540895
4045	4808.657354	47.276216	0.718785	1.545504	4.466595
4047	4810.731483	48.381289	0.888281	1.542717	4.308291
4049	4812.806126	46.884463	1.449252	1.583050	4.396015
4051	4814.881219	47.543243	0.627391	1.541257	4.613186
4053	4816.957238	48.555533	6.511134	1.489280	4.333974
4055	4819.033182	47.655441	0.863560	1.540255	4.255658
4057	4821.109160	47.650101	0.673963	1.539649	4.284418
4059	4823.185544	48.374095	7.511944	1.480240	4.396692
4061	4825.262248	48.830356	2.214494	1.578973	4.315733
4063	4827.339586	48.763971	2.320736	1.578724	4.343348
