crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	2.839861	5817	0.000000
281474976710655.000000	2.891308	5818	0.000000
281474976710655.000000	2.835385	5819	0.000000
281474976710655.000000	2.892744	5820	0.000000
281474976710655.000000	2.866080	5821	0.000000
281474976710655.000000	2.831658	5822	0.000000
281474976710655.000000	2.815412	5823	0.000000
281474976710655.000000	2.867832	5824	0.000000
281474976710655.000000	2.875394	5825	0.000000
281474976710655.000000	2.815942	5826	0.000000
281474976710655.000000	2.850657	5827	0.000000
281474976710655.000000	2.863794	5828	0.000000
281474976710655.000000	2.803494	5829	0.000000
281474976710655.000000	2.819220	5830	0.000000
281474976710655.000000	2.831414	5831	0.000000
281474976710655.000000	2.828522	5832	0.000000
281474976710655.000000	2.864492	5833	0.000000
281474976710655.000000	2.857282	5834	0.000000
281474976710655.000000	2.825294	5835	0.000000
281474976710655.000000	2.858941	5836	0.000000
281474976710655.000000	2.809334	5837	0.000000
281474976710655.000000	2.852484	5838	0.000000
281474976710655.000000	2.783700	5839	0.000000
281474976710655.000000	2.782718	5840	0.000000
281474976710655.000000	2.789934	5841	0.000000
281474976710655.000000	2.823603	5842	0.000000
281474976710655.000000	2.791216	5843	0.000000
281474976710655.000000	2.794969	5844	0.000000
281474976710655.000000	2.754191	5845	0.000000
281474976710655.000000	2.795221	5846	0.000000
281474976710655.000000	2.750740	5847	0.000000
281474976710655.000000	2.802908	5848	0.000000
281474976710655.000000	2.759525	5849	0.000000
281474976710655.000000	2.782081	5850	0.000000
281474976710655.000000	2.774517	5851	0.000000
281474976710655.000000	2.766043	5852	0.000000
281474976710655.000000	2.744986	5853	0.000000
281474976710655.000000	2.755083	5854	0.000000
281474976710655.000000	2.714370	5855	0.000000
281474976710655.000000	2.742095	5856	0.000000
281474976710655.000000	2.709857	5857	0.000000
281474976710655.000000	2.726441	5858	0.000000
281474976710655.000000	2.711697	5859	0.000000
281474976710655.000000	2.722771	5860	0.000000
281474976710655.000000	2.698428	5861	0.000000
281474976710655.000000	2.735345	5862	0.000000
281474976710655.000000	2.723099	5863	0.000000
281474976710655.000000	2.749046	5864	0.000000
281474976710655.000000	2.743281	5865	0.000000
281474976710655.000000	2.726153	5866	0.000000
281474976710655.000000	2.723912	5867	0.000000
281474976710655.000000	2.727921	5868	0.000000
281474976710655.000000	2.733173	5869	0.000000
281474976710655.000000	2.733786	5870	0.000000
281474976710655.000000	2.704750	5871	0.000000
281474976710655.000000	2.727846	5872	0.000000
281474976710655.000000	2.714637	5873	0.000000
281474976710655.000000	2.716082	5874	0.000000
281474976710655.000000	2.679048	5875	0.000000
281474976710655.000000	2.711450	5876	0.000000
281474976710655.000000	2.695911	5877	0.000000
281474976710655.000000	2.702548	5878	0.000000
281474976710655.000000	2.665787	5879	0.000000
281474976710655.000000	2.691549	5880	0.000000
281474976710655.000000	2.676873	5881	0.000000
281474976710655.000000	2.692257	5882	0.000000
281474976710655.000000	2.657547	5883	0.000000
281474976710655.000000	2.676876	5884	0.000000
281474976710655.000000	2.667478	5885	0.000000
281474976710655.000000	2.695073	5886	0.000000
281474976710655.000000	2.647409	5887	0.000000
281474976710655.000000	2.684886	5888	0.000000
281474976710655.000000	2.664426	5889	0.000000
281474976710655.000000	2.679658	5890	0.000000
281474976710655.000000	2.633594	5891	0.000000
281474976710655.000000	2.674778	5892	0.000000
281474976710655.000000	2.624213	5893	0.000000
281474976710655.000000	2.651593	5894	0.000000
281474976710655.000000	2.608794	5895	0.000000
281474976710655.000000	2.636723	5896	0.000000
281474976710655.000000	2.590282	5897	0.000000
281474976710655.000000	2.624413	5898	0.000000
281474976710655.000000	2.590377	5899	0.000000
281474976710655.000000	2.596042	5900	0.000000
281474976710655.000000	2.568002	5901	0.000000
281474976710655.000000	2.608088	5902	0.000000
281474976710655.000000	2.581783	5903	0.000000
281474976710655.000000	2.600649	5904	0.000000
281474976710655.000000	2.577831	5905	0.000000
281474976710655.000000	2.600473	5906	0.000000
281474976710655.000000	2.589782	5907	0.000000
281474976710655.000000	2.592406	5908	0.000000
281474976710655.000000	2.582741	5909	0.000000
281474976710655.000000	2.590259	5910	0.000000
281474976710655.000000	2.578351	5911	0.000000
281474976710655.000000	2.591771	5912	0.000000
281474976710655.000000	2.577328	5913	0.000000
281474976710655.000000	2.592549	5914	0.000000
281474976710655.000000	2.560587	5915	0.000000
281474976710655.000000	2.582151	5916	0.000000
281474976710655.000000	2.552860	5917	0.000000
281474976710655.000000	2.582317	5918	0.000000
281474976710655.000000	2.551208	5919	0.000000
281474976710655.000000	2.572854	5920	0.000000
281474976710655.000000	2.548669	5921	0.000000
281474976710655.000000	2.573324	5922	0.000000
281474976710655.000000	2.532864	5923	0.000000
281474976710655.000000	2.566015	5924	0.000000
281474976710655.000000	2.522937	5925	0.000000
281474976710655.000000	2.562375	5926	0.000000
281474976710655.000000	2.517958	5927	0.000000
281474976710655.000000	2.555319	5928	0.000000
281474976710655.000000	2.509285	5929	0.000000
281474976710655.000000	2.534937	5930	0.000000
281474976710655.000000	2.491417	5931	0.000000
281474976710655.000000	2.519124	5932	0.000000
281474976710655.000000	2.478794	5933	0.000000
281474976710655.000000	2.518774	5934	0.000000
281474976710655.000000	2.473749	5935	0.000000
281474976710655.000000	2.497855	5936	0.000000
281474976710655.000000	2.455976	5937	0.000000
281474976710655.000000	2.504697	5938	0.000000
281474976710655.000000	2.460389	5939	0.000000
281474976710655.000000	2.471120	5940	0.000000
281474976710655.000000	2.462364	5941	0.000000
281474976710655.000000	2.495936	5942	0.000000
281474976710655.000000	2.468339	5943	0.000000
