time (s)	det(V)
1596.257860	0.169069	
1596.259862	0.158955	
1596.261862	0.153643	
1596.263865	0.150660	
1596.265865	0.147085	
1596.267866	0.142708	
1596.269865	0.139016	
1596.271865	0.135538	
1596.273866	0.131718	
1596.277875	0.126559	
1596.281876	0.118956	
1596.283878	0.114009	
1596.285877	0.111973	
1596.287877	0.109329	
1596.289878	0.106202	
1596.291877	0.102922	
1596.293877	0.100126	
1596.297877	0.096088	
1596.301878	0.092610	
1596.303878	0.089786	
1596.305878	0.088160	
1596.307878	0.085552	
1596.331795	0.082838	
1596.333797	0.078107	
1596.337797	0.076159	
1596.339797	0.070927	
1596.341797	0.066080	
1596.343797	0.062021	
1596.345797	0.057273	
1596.349795	0.053728	
1596.351797	0.042998	
1596.353797	0.039537	
1596.357797	0.035606	
1596.359797	0.026226	
1596.361798	0.022984	
1596.363798	0.018258	
1596.365797	0.013898	
1596.369796	0.009711	
1596.371797	0.000674	
1596.373797	-0.006017	
1596.377796	-0.010358	
1596.379796	-0.016695	
1596.381796	-0.019541	
1596.383798	-0.021829	
1596.385797	-0.026290	
1596.389796	-0.029704	
1596.391797	-0.036407	
1596.393797	-0.040254	
1596.397796	-0.041893	
1596.399796	-0.044463	
1596.401797	-0.046516	
1596.403797	-0.046859	
1596.405798	-0.049287	
1596.409799	-0.051097	
1596.411801	-0.055340	
1596.413802	-0.056562	
1596.417800	-0.056505	
1596.419800	-0.057087	
1596.421800	-0.057138	
1596.423802	-0.057704	
1596.425801	-0.059144	
1596.429798	-0.060554	
1596.431802	-0.062782	
1596.433801	-0.064439	
1596.437801	-0.064394	
1596.439801	-0.065944	
1596.441801	-0.067554	
1596.443801	-0.068601	
1596.445801	-0.071321	
1596.449798	-0.073144	
1596.451801	-0.078563	
1596.453803	-0.081828	
1596.457800	-0.084355	
1596.459801	-0.089900	
1596.461801	-0.093698	
1596.463800	-0.096917	
1596.465802	-0.101452	
1596.469799	-0.105851	
1596.471801	-0.116766	
1596.473801	-0.122713	
1596.477800	-0.128026	
1596.479801	-0.138829	
1596.481801	-0.144248	
1596.483802	-0.151014	
1596.485802	-0.157732	
1596.489798	-0.164201	
1596.491802	-0.179616	
1596.493802	-0.187088	
1596.497804	-0.194420	
1596.499806	-0.207038	
1596.501805	-0.215146	
1596.503805	-0.219887	
1596.505804	-0.226835	
1596.509804	-0.235498	
1596.511806	-0.252504	
1596.513804	-0.258545	
1596.517805	-0.265511	
1596.519806	-0.277185	
1596.521805	-0.282960	
1596.523804	-0.288329	
1596.525804	-0.294767	
1596.529804	-0.301278	
1596.531805	-0.313987	
1596.533807	-0.318861	
1596.537805	-0.323390	
1596.539806	-0.332082	
1596.541805	-0.337377	
1596.543805	-0.340416	
1596.545805	-0.345443	
1596.547806	-0.348132	
1596.549806	-0.353399	
1596.551805	-0.357028	
1596.553808	-0.359588	
1596.557807	-0.361152	
1596.559808	-0.367979	
1596.561807	-0.371421	
1596.563807	-0.373659	
1596.565808	-0.377218	
1596.567807	-0.381075	
1596.569806	-0.382779	
1596.573805	-0.385128	
1596.577805	-0.396169	
1596.579807	-0.402739	
1596.581807	-0.407133	
1596.583811	-0.409249	
1596.585807	-0.413499	
1596.587810	-0.415861	
1596.589810	-0.420393	
1596.591810	-0.427757	
1596.593809	-0.434536	
1596.597810	-0.438510	
1596.599811	-0.454079	
1596.601811	-0.460734	
1596.603811	-0.466171	
1596.605810	-0.473900	
1596.607810	-0.484504	
1596.609811	-0.490981	
1596.611811	-0.498242	
1596.613810	-0.508956	
1596.615819	-0.520123	
1596.619821	-0.528046	
1596.621820	-0.544995	
1596.623819	-0.554975	
1596.625821	-0.563163	
1596.627820	-0.573045	
1596.629820	-0.581977	
1596.631820	-0.591306	
1596.635818	-0.601520	
1596.639818	-0.626616	
1596.641821	-0.634437	
1596.643820	-0.640750	
1596.645821	-0.645844	
1596.647821	-0.653488	
1596.649821	-0.660303	
1596.653819	-0.664478	
1596.657818	-0.673173	
1596.659821	-0.681623	
1596.661822	-0.680759	
1596.663821	-0.683678	
1596.665820	-0.687335	
1596.667821	-0.689014	
1596.669821	-0.685081	
1596.671820	-0.685352	
1596.675821	-0.688587	
1596.679822	-0.684451	
1596.681820	-0.682528	
1596.683821	-0.679891	
1596.685819	-0.673981	
1596.687821	-0.669657	
1596.689820	-0.668625	
1596.691818	-0.668980	
1596.695821	-0.663468	
1596.699820	-0.654844	
1596.701821	-0.645485	
1596.703819	-0.636168	
1596.705820	-0.633371	
1596.707821	-0.632741	
1596.709821	-0.626181	
1596.713819	-0.619201	
1596.717820	-0.616930	
1596.719821	-0.603484	
1596.721820	-0.599137	
1596.723820	-0.600414	
1596.725821	-0.596494	
1596.727821	-0.591090	
1596.729821	-0.585719	
1596.731819	-0.588052	
1596.735826	-0.588670	
1596.739827	-0.575661	
1596.741827	-0.576291	
1596.743827	-0.568959	
1596.745827	-0.563767	
1596.747827	-0.564763	
1596.749826	-0.564319	
1596.753824	-0.557642	
1596.757824	-0.549527	
1596.759827	-0.541762	
1596.761825	-0.531051	
1596.763826	-0.528092	
1596.765827	-0.524822	
1596.767827	-0.517090	
1596.769826	-0.507626	
1596.771826	-0.502800	
1596.775836	-0.500435	
1596.777834	-0.483837	
1596.779833	-0.477188	
1596.781839	-0.470369	
1596.783848	-0.463857	
1596.785851	-0.452516	
1596.787853	-0.443482	
1596.789852	-0.436407	
1596.791854	-0.429826	
1596.793853	-0.422113	
1596.797854	-0.413622	
1596.799854	-0.398834	
1596.801855	-0.386462	
1596.803855	-0.372965	
1596.805855	-0.362014	
1596.807855	-0.353551	
1596.809853	-0.340888	
1596.811855	-0.328472	
1596.813854	-0.318840	
1596.815854	-0.310973	
1596.819855	-0.299157	
1596.821857	-0.274684	
1596.823859	-0.266933	
1596.825855	-0.257375	
1596.827857	-0.246735	
1596.829857	-0.237745	
1596.831857	-0.229476	
1596.835855	-0.222384	
1596.839855	-0.202052	
1596.841856	-0.190709	
