time (s)	coil I (A)	last det (V)	int current (uC)
1990.248894	0.264257	-82.128906	183.007812
1990.250896	0.583942	-82.128906	183.007812
1990.252896	0.891309	-82.128906	183.007812
1990.256896	1.258522	-82.128906	183.007812
1990.258898	1.254607	-82.128906	183.007812
1990.260897	1.252526	13.777790	0.061757
1991.289000	0.506467	-119.140625	-225.488281
1991.291003	0.815866	-119.140625	-225.488281
1991.295001	1.257530	-119.140625	-225.488281
1991.297002	1.254958	-119.140625	-225.488281
1991.299002	1.252619	13.778810	0.067056
1992.327590	0.566166	-52.246094	184.960937
1992.329589	0.874224	-52.246094	184.960937
1992.331590	1.162111	-52.246094	184.960937
1992.333589	1.258419	-52.246094	184.960937
1992.335590	1.254517	13.799689	0.050379
1993.367609	0.429986	-120.019531	-231.054687
1993.369611	0.741435	-120.019531	-231.054687
1993.371611	1.042062	-120.019531	-231.054687
1993.373612	1.248172	-120.019531	-231.054687
1993.375612	1.255489	-120.019531	-231.054687
1993.377611	1.252748	13.780228	0.069047
1994.406504	0.851977	-40.722656	188.281250
1994.408506	1.144219	-40.722656	188.281250
1994.412506	1.254571	-40.722656	188.281250
1994.416504	1.251071	13.761777	0.052896
1995.450548	0.470611	-120.214844	-233.496094
1995.452550	0.780709	-120.214844	-233.496094
1995.454557	1.079562	-120.214844	-233.496094
1995.456564	1.256726	-120.214844	-233.496094
1995.458564	1.257367	-120.214844	-233.496094
1995.460564	1.254655	13.801205	0.056898
1996.480632	0.579131	-40.429687	190.429687
1996.482633	0.886799	-40.429687	190.429687
1996.484634	1.171646	-40.429687	190.429687
1996.486633	1.258142	-40.429687	190.429687
1996.488633	1.254363	13.797989	0.180603
1997.532652	0.377616	-118.750000	-235.156250
1997.534653	0.691043	-118.750000	-235.156250
1997.536654	0.700705	-118.750000	-235.156250
1997.538653	1.232841	-118.750000	-235.156250
1997.540654	1.256108	-118.750000	-235.156250
1997.542655	1.252962	13.782577	0.049298
1998.556697	0.686127	-46.386719	192.285156
1998.558700	0.989099	-46.386719	192.285156
1998.560699	1.231108	-46.386719	192.285156
1998.564697	1.253372	-46.386719	192.285156
1998.566699	1.251539	13.766925	0.064048
1999.613693	0.440842	-120.800781	-234.765625
1999.615695	0.752098	-120.800781	-234.765625
1999.617695	1.052171	-120.800781	-234.765625
1999.619693	1.250416	-120.800781	-234.765625
1999.621693	1.255420	-120.800781	-234.765625
1999.623693	1.252609	13.778695	0.047337
2000.633828	0.776091	-34.570312	191.210937
2000.635829	1.075117	-34.570312	191.210937
2000.637830	1.253964	-34.570312	191.210937
2000.639830	1.254736	-34.570312	191.210937
2000.643830	1.250685	13.757532	0.066258
2001.696421	0.706889	-119.824219	-235.449219
2001.698420	1.008930	-119.824219	-235.449219
2001.700420	1.238459	-119.824219	-235.449219
2001.702421	1.255642	-119.824219	-235.449219
2001.704422	1.252772	13.780495	0.050509
2002.710439	0.688338	-18.261719	190.722656
2002.712442	0.991165	-18.261719	190.722656
2002.714441	1.231560	-18.261719	190.722656
2002.716442	1.255620	-18.261719	190.722656
2002.718441	1.252527	13.777800	0.067113
2003.776499	0.458612	-120.703125	-234.667969
2003.778502	0.769180	-120.703125	-234.667969
2003.780503	1.068593	-120.703125	-234.667969
2003.782501	1.253907	-120.703125	-234.667969
2003.784500	1.255908	-120.703125	-234.667969
2003.786502	1.253181	13.784986	0.049843
2004.784495	0.291344	-9.472656	189.746094
2004.786499	0.609370	-9.472656	189.746094
2004.788497	0.915598	-9.472656	189.746094
2004.790497	1.191665	-9.472656	189.746094
2004.792497	1.257303	-9.472656	189.746094
2004.794499	1.253524	13.788762	0.066452
2005.856564	0.728096	-120.507812	-234.179687
2005.858566	1.029254	-120.507812	-234.179687
2005.860566	1.244950	-120.507812	-234.179687
2005.862566	1.255849	-120.507812	-234.179687
2005.864568	1.253021	13.783233	0.049107
2006.864539	0.484493	-9.375000	189.843750
2006.866541	0.794260	-9.375000	189.843750
2006.868541	1.092473	-9.375000	189.843750
2006.870541	1.099540	-9.375000	189.843750
2006.872541	1.254711	13.801826	0.062362
2007.936631	0.557341	-120.800781	-234.765625
2007.938634	0.570803	-120.800781	-234.765625
2007.940635	1.155468	-120.800781	-234.765625
2007.942634	1.258521	-120.800781	-234.765625
2007.944635	1.254732	13.802047	0.064569
2008.948652	0.863127	-8.886719	189.062500
2008.950652	1.153380	-8.886719	189.062500
2008.952653	1.258770	-8.886719	189.062500
2008.954654	1.255048	13.805530	0.062834
2010.014709	0.517185	-120.117187	-235.742187
2010.018708	1.122064	-120.117187	-235.742187
2010.020710	1.257191	-120.117187	-235.742187
2010.022715	1.254240	13.796640	0.045587
2011.024712	0.326651	-16.503906	189.648437
2011.026713	0.642656	-16.503906	189.648437
2011.028713	0.947442	-16.503906	189.648437
2011.030714	1.210778	-16.503906	189.648437
2011.032714	1.256657	-16.503906	189.648437
2011.034715	1.256525	13.821774	0.058178
2012.094748	0.819618	-119.335937	-237.011719
2012.096750	1.115954	-119.335937	-237.011719
2012.098751	1.258433	-119.335937	-237.011719
2012.100754	1.255888	13.814774	0.051327
2013.108856	0.758094	-25.976562	190.039062
2013.110859	1.057814	-25.976562	190.039062
2013.112857	1.251847	-25.976562	190.039062
2013.114859	1.255814	-25.976562	190.039062
2013.116860	1.253090	13.783995	0.064798
2014.170908	2.792206	-119.238281	-237.011719
2014.172912	0.948194	-119.238281	-237.011719
2014.176915	1.256700	-119.238281	-237.011719
2014.178917	1.253416	-119.238281	-237.011719
2014.180917	1.253296	13.786255	0.489251
2015.189527	0.703761	-38.085937	190.722656
2015.191529	1.005889	-38.085937	190.722656
2015.193530	1.237078	-38.085937	190.722656
2015.195529	1.255420	-38.085937	190.722656
2015.197529	1.252537	13.777905	0.061081
2016.247565	0.642652	-119.042969	-237.792969
2016.251563	1.210747	-119.042969	-237.792969
2016.253566	1.256646	-119.042969	-237.792969
2016.255565	1.253217	13.785385	0.047740
2017.270152	0.482098	-34.863281	188.671875
2017.272153	0.792003	-34.863281	188.671875
2017.274151	1.090376	-34.863281	188.671875
2017.276152	1.256830	-34.863281	188.671875
2017.278151	1.256191	13.818105	0.061711
2018.326197	0.941504	-116.992187	-237.304687
2018.328199	0.952204	-116.992187	-237.304687
2018.330198	1.257073	-116.992187	-237.304687
2018.332199	1.253629	13.789924	0.053254
